기간,지역,발생건수,사망자수,부상자수,맑음,흐림,비,안개,눈,기타/불명,교통안전지수,인구밀도,인구,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
2016,종로구,1299,9,1748,1151,61,84,1,2,0,76.86,6771,161922,29,75,390,338,332,301,110,88,94
2016,중구,1288,17,1716,1115,86,81,0,5,1,68.95,13494,134409,35,62,388,365,304,336,94,61,88
2016,용산구,1428,12,2069,1317,33,76,0,1,1,79.07,11209,245102,48,98,443,492,395,330,100,94,81
2016,성동구,1099,15,1541,1028,15,50,0,3,3,80.38,18218,307161,60,117,301,343,252,262,73,59,89
2016,광진구,1045,9,1466,916,44,73,0,4,8,82.36,21807,372104,67,95,324,279,244,277,73,59,57
2016,동대문구,2051,14,2629,1776,131,137,0,2,5,74.28,26050,370312,94,184,444,439,414,553,141,169,199.25
2016,중랑구,1535,9,2030,1390,34,85,0,7,19,78.28,22474,415677,99,192,324,330,318,433,122,99,122
2016,성북구,1618,13,2106,1414,107,96,0,1,0,81.03,18781,461617,80,163,359,406,399,358,95,114,145
2016,강북구,1227,15,1678,1014,121,84,0,3,5,78.6,14015,330704,65,158,328,268,255,296,97,94,132
2016,도봉구,949,11,1306,832,26,75,0,2,14,80.51,16948,350272,73,107,189,185,227,268,92,79,97
2016,노원구,1535,13,2216,1378,47,103,0,7,0,78.71,16119,571212,130,190,352,364,397,421,126,118,131
2016,은평구,1121,14,1518,974,57,76,0,8,6,80.27,16696,495937,75,159,231,216,258,284,79,103,127
2016,서대문구,1135,14,1566,981,102,51,0,1,0,80.18,18506,325871,58,107,299,308,261,272,91,84,100
2016,마포구,1768,15,2605,1556,83,117,0,8,4,76.16,16394,390887,102,181,576,546,460,423,123,108,101
2016,양천구,1493,12,2056,1306,85,90,0,7,5,80.83,27681,481845,110,181,341,362,376,389,114,99,96
2016,강서구,1691,13,2230,1588,29,62,0,4,8,80.73,14531,602104,107,163,349,444,410,397,123,114,136
2016,구로구,1511,9,2139,1355,46,101,1,7,1,79.4,22347,449600,98,163,364,391,391,405,124,110,102
2016,금천구,799,15,1133,699,26,45,0,5,24,81.35,19560,254654,43,83,200,165,224,250,68,60,55
2016,영등포구,2403,22,3473,2136,74,174,0,8,11,71.22,16583,406779,117,179,658,686.5,619,664.25,187,175,155
2016,동작구,1471,19,2028,1343,39,78,0,8,3,76.91,25269,413247,86,127,434,411,322,364,100,87,116
2016,관악구,1408,19,1895,1216,37,68,0,5,39.5,74,17776,525607,76,150,464,340,301,317,91,85,90
2016,서초구,2313,16,3473,2101,55,146,0,7,4,76.83,9610,451477,108,153,699,686.5,657,600,184,160,113
2016,강남구,2506.25,12,3529.5,2201.75,85,221.5,1,12,39.5,68.95,14484,572140,142,241,716.5,686.5,690.75,664.25,249,176,153
2016,송파구,2506.25,14,3529.5,2201.75,100,156,3,8,16,75.01,19629,664946,201,266,613,686.5,623,664.25,221,147,147
2016,강동구,1426,17,1957,1243,60,107,0,6,10,79.37,18238,448471,115,125,299,345,366,362,132,127,103
2017,종로구,1190,13,1689,1083,42,56,0,9,0,75.08,6869,164257,19,66,323,351,282,319,108,92,115
2017,중구,1252,4,1684,1125,59,61,0,4,3,73.85,13514,134593,9,45,315,371,299,338,119,85,84
2017,용산구,1337,12,1949,1245,39,48,0,5,0,77.25,11179,244444,24,76,470,452,343,297,92,86,86
2017,성동구,1076,15,1501,951,68,49,4,3,1,80.95,18551,312711,11,59,290,312,272,262,96,73,99
2017,광진구,1064,16,1441,965,22,46,0,4,27,81.73,21819,372298,23,80,282,319,224,252,94,70,83
2017,동대문구,1718,25,2139,1479,147,81,0,6,5,73.73,25748,366011,35,120,353,351,343,459,147,147,176
2017,중랑구,1639,6,2228,1506,51,51,1,10,20,78.72,22318,412780,51,171,384,363,354,468,124,126,144
2017,성북구,1557,17,2068,1352,91,102,2,9,1,80.85,18533,455407,40,143,370,366,371,321,136,125,173
2017,강북구,1202,9,1567,992,108,65,0,13,24,78.14,13898,328002,36,117,315,213,260,275,115,86,127
2017,도봉구,944,9,1239,807,70,61,0,4,2,81.21,16752,346234,35,98,162,189,200,258,93,75,105
2017,노원구,1499,11,2055,1348,39,99,0,13,0,80.53,15748,558075,60,156,316,341,372,432,103,115,112
2017,은평구,1067,12,1489,930,64,55,0,8,10,80.78,16534,491202,29,121,238,247,238,261,101,89,126
2017,서대문구,1032,8,1430,946,48,33,0,5,0,81.34,18440,325028,20,98,287,269,214,257,91,73,106
2017,마포구,1859,8,2793,1724,35,88,1,11,0,79.06,16174,385783,36,154,680,568,493,445,143,128,105
2017,양천구,1343,13,1789,1196,57,83,0,6,1,80.91,27289,475018,52,120,272,336,323,349,99,87,95
2017,강서구,1584,12,2155,1442,60,60,1,7,14,78.94,14679,608255,27,148,357,453,337,413,131,114,127
2017,구로구,1433,12,1960,1301,42,70,0,11,9,78.87,21946,441559,31,121,352,372,348,342,119,106,107
2017,금천구,824,6,1228,720,25,35,0,5,39,81.56,19469,253491,25,80,214,228,229,240,60,66,55
2017,영등포구,2386,22,3519,2182,71,119,0,11,3,70.24,16377,402024,46,173,642,686.5,616,639,198,177.5,166
2017,동작구,1409,20,2043,1272,61,63,0,11,2,76.74,24978,408493,25,136,411,415,358,368,100,90,119
2017,관악구,1251,11,1659,1150,37,37,0,9,18,81.35,17617,520929,19,103,381,332,257,265,92,105,92
2017,서초구,2361,21,3529.5,2151,84,108,0,12,6,76.88,9480,445401,42,120,716.5,686.5,688,611,192,140,127
2017,강남구,2506.25,19,3529.5,2201.75,81,192,0,24,39.5,68.95,14203,561052,62,156,716.5,686.5,690.75,664.25,226,177.5,137
2017,송파구,2506.25,23,3529.5,2201.75,142,142,0,12,16,71.42,19813,671173,99,240,657,686.5,666,664.25,227,162,177
2017,강동구,1371,19,1873,1177,109,80,0,5,0,74.34,17909,440359,33,101,291,324,344,377,140,103,127
2018,종로구,1134,6,1546,1025,32,69,0,8,0,77.67,6817,163026,16,54,273,320,269,287,100,97,112
2018,중구,1128,9,1506,1002,47,68,0,5,6,71.06,13618,135633,6,40,267,373,270,263,104,100,69
2018,용산구,1330,14,1852,1202,44,69,0,6,9,77.69,11209,245090,14,58,433,451,314,277,99,94,90
2018,성동구,1143,9,1561,1001,65,69,0,8,0,81.56,18771,316463,15,73,344,308,281,273,88,77,87
2018,광진구,1108,10,1474,981,33,77,0,6,11,80.78,21746,371063,30,80,321,275,254,259,101,69,66
2018,동대문구,1699,14,2160,1494,93,86,0,5,21,75.01,25630,364338,24,129,399,360,319,422,142,128,199.25
2018,중랑구,1565,10,2135,1394,71,79,0,7,14,77.85,22067,408147,47,127,349,371,350,425,148,128,142
2018,성북구,1427,14,1980,1209,111,97,0,10,0,79.99,18218,447687,37,100,395,368,349,334,114,104,132
2018,강북구,1216,13,1633,963,166,73,0,11,3,76.13,13683,322915,21,114,245,285,259,335,95,118,139
2018,도봉구,824,6,1061,709,45,66,0,4,0,81.29,16531,341649,22,62,161,147,155,209,84,84,116
2018,노원구,1569,14,2227,1324,94,125,0,10,16,78.83,15468,548160,44,134,378,361,428,417,164,118,138
2018,은평구,1134,12,1580,1013,40,71,0,5,5,80.26,16415,487666,38,85,264,240,260,292,95,102,152
2018,서대문구,1033,5,1403,911,70,50,0,1,1,81.55,18331,323080,23,89,266,236,238,229,92,83,129
2018,마포구,1671,11,2429,1518,27,101,0,8,17,79.32,16199,386359,27,137,596,487,414,380,154,119,86
2018,양천구,1428,11,1939,1265,46,107,1,9,0,81.82,26894,468145,41,114,301,321,371,374,138,117,107
2018,강서구,1502,11,2208,1314,70,104,0,9,5,79.63,14567,603611,34,112,431,460,356,421,126,109,119
2018,구로구,1532,13,2129,1375,34,108,0,4,11,76.62,21793,438486,26,107,395,407,356,389,145,137,118
2018,금천구,932,6,1326,788,31,86,0,7,20,81.91,19510,254021,14,89,252,242,232,251,74,73,78
